STATISTIC_CODE,Statistic,CSOED_3409,Electoral_Division,TLISTA1,CensusYear,UNIT,VALUE,GUID,ED_ID
FP009C01,Population - 2016,27096,"Kilthomas, Co.Galway, ",2022,2022,Number,84.0,2AE19629233C13A3E055000000000001,67150
FP009C01,Population - 2016,33046,"An Dúchoraidh, Co.Donegal, ",2022,2022,Number,88.0,2AE1962920DB13A3E055000000000001,57054
FP009C01,Population - 2016,14068,"Barrack Village, Co.Wexford, ",2022,2022,Number,92.0,2AE196291E5813A3E055000000000001,247024
FP009C01,Population - 2016,29054,"Barr Rúscaí, Co.Mayo, ",2022,2022,Number,100.0,2AE1962918FC13A3E055000000000001,157032
FP009C01,Population - 2016,29142,"Kilgeever, Co.Mayo, ",2022,2022,Number,108.0,2AE19629193D13A3E055000000000001,157095
FP009C01,Population - 2016,29126,"Aghagower South, Co.Mayo, ",2022,2022,Number,108.0,2AE19629195113A3E055000000000001,157004
FP009C01,Population - 2016,09023,"Drummeel, Co.Longford, ",2022,2022,Number,116.0,2AE1962918F613A3E055000000000001,137028
FP009C01,Population - 2016,16125,"Carrowbaun, Co.Clare, ",2022,2022,Number,116.0,2AE19629200313A3E055000000000001,37023
FP009C01,Population - 2016,30034,"Creeve, Co.Roscommon, ",2022,2022,Number,120.0,2AE1962919C713A3E055000000000001,197046
FP009C01,Population - 2016,30043,"Killummod, Co.Roscommon, ",2022,2022,Number,120.0,2AE196291A3113A3E055000000000001,197076
FP009C01,Population - 2016,16015,"Oughtmama, Co.Clare, ",2022,2022,Number,120.0,2AE196291FE213A3E055000000000001,37132
FP009C01,Population - 2016,33043,"Cró Chaorach, Co.Donegal, ",2022,2022,Number,120.0,2AE1962920C413A3E055000000000001,57047
FP009C01,Population - 2016,33065,"Tieveskeelta, Co.Donegal, ",2022,2022,Number,120.0,2AE1962920DF13A3E055000000000001,57144
FP009C01,Population - 2016,21124,"Mohernagh, Co.Limerick, ",2022,2022,Number,136.0,2AE1962917C513A3E055000000000001,127110
FP009C01,Population - 2016,15008,"Ballinguile, Co.Wicklow, ",2022,2022,Number,136.0,2AE196291E8213A3E055000000000001,257011
FP009C01,Population - 2016,19053,"Glanlough, Co.Co.Kerry, ",2022,2022,Number,136.0,2AE19629224113A3E055000000000001,77080
FP009C01,Population - 2016,08013,"Cullenagh, Co.Laois, ",2022,2022,Number,144.0,2AE1962916B413A3E055000000000001,107037
FP009C01,Population - 2016,13026,"Boherquill, Co.Westmeath, ",2022,2022,Number,152.0,2AE196291B3113A3E055000000000001,237018
FP009C01,Population - 2016,16149,"Loughea, Co.Clare, ",2022,2022,Number,152.0,2AE19629203C13A3E055000000000001,37115
FP009C01,Population - 2016,18281,"Kilgullane, Co.Cork, ",2022,2022,Number,152.0,2AE19629218613A3E055000000000001,47198
FP009C01,Population - 2016,06031,"Quinsborough, Co.Kildare, ",2022,2022,Number,160.0,2AE19629227713A3E055000000000001,87078
FP009C01,Population - 2016,29102,"Tagheen, Co.Mayo, ",2022,2022,Number,168.0,2AE19629189B13A3E055000000000001,157145
FP009C01,Population - 2016,30108,"Rossmore, Co.Roscommon, ",2022,2022,Number,168.0,2AE1962919D713A3E055000000000001,197100
FP009C01,Population - 2016,23152,"Poyntstown, Co.Tipperary, ",2022,2022,Number,176.0,2AE196291C9213A3E055000000000001,217144
FP009C01,Population - 2016,27164,"Ballyglass, Co.Galway, ",2022,2022,Number,176.0,2AE19629207513A3E055000000000001,67023
FP009C01,Population - 2016,15070,"Ballybeg, Co.Wicklow, ",2022,2022,Number,184.0,2AE196291E8D13A3E055000000000001,257013
FP009C01,Population - 2016,08079,"Ballybrophy, Co.Laois, ",2022,2022,Number,192.0,2AE1962916A313A3E055000000000001,107010
FP009C01,Population - 2016,08039,"Vicarstown, Co.Laois, ",2022,2022,Number,192.0,2AE19629170713A3E055000000000001,107098
FP009C01,Population - 2016,16100,"Querrin, Co.Clare, ",2022,2022,Number,192.0,2AE196291FEA13A3E055000000000001,37133
FP009C01,Population - 2016,27102,"Ballynagar, Co.Galway, ",2022,2022,Number,192.0,2AE19629208013A3E055000000000001,67027
FP009C01,Population - 2016,19146,"Derreen, Co.Co.Kerry, ",2022,2022,Number,192.0,2AE1962922D613A3E055000000000001,77063
FP009C01,Population - 2016,29047,"Abhainn Bhrain, Co.Mayo, ",2022,2022,Number,200.0,2AE19629185E13A3E055000000000001,157128
FP009C01,Population - 2016,07081,"Pleberstown, Co.Kilkenny, ",2022,2022,Number,200.0,2AE1962923D813A3E055000000000001,97084
FP009C01,Population - 2016,07103,"Kilbeacon, Co.Kilkenny, ",2022,2022,Number,200.0,2AE19629240313A3E055000000000001,97055
FP009C01,Population - 2016,01050,"Coonogue, Co.Carlow, ",2022,2022,Number,208.0,2AE19629186513A3E055000000000001,17015
